ID,peak_value,dis2peak,板温,现场温度,光照强度,转换效率,转换效率A,转换效率B,转换效率C,电压A,电压B,电压C,电流A,电流B,电流C,功率A,std_power,mean_power,功率B,功率C,平均功率,风速,风向,发电量
10,4669.31,79,-19.14,-17.4,34,80.55,106.32,16.98,118.36,729.0,709.0,725.0,1.34,0.22,1.5,976.86,952.1519105168742,1454.6336419753084,155.98,1087.5,740.11,0.6,272.0,1.437751581
11,4669.31,78,-18.73,-17.3,30,99.9,139.0,21.2,139.51,728.0,717.0,726.0,1.55,0.24,1.56,1128.4,965.6048865859522,1472.5120710059173,172.08,1132.56,811.01,0.8,275.0,1.692574814
12,4669.31,77,-17.54,-17.0,41,82.48,114.86,14.91,117.66,731.0,722.0,720.0,1.75,0.23,1.82,1279.25,982.2772663382145,1518.3693529411764,166.06,1310.4,918.57,1.1,283.0,1.975787459
14,4669.31,75,-15.43,-16.6,53,73.98,101.72,15.55,104.67,730.0,727.0,726.0,2.02,0.31,2.09,1474.6,1004.6047681772699,1601.4910526315791,225.37,1517.34,1072.44,0.9,280.0,2.370655595
15,4669.31,74,-14.6,-16.3,65,64.62,86.86,13.09,93.92,727.0,729.0,728.0,2.13,0.32,2.3,1548.51,1010.9357026211428,1685.1381176470586,233.28,1674.4,1152.06,1.1,280.0,2.532091305
16,4669.31,73,-14.1,-16.2,76,61.97,77.59,25.8,82.53,733.0,728.0,724.0,2.21,0.74,2.38,1619.93,1054.0556182110165,1723.026705202312,538.72,1723.12,1293.92,0.9,278.0,2.779719016
19,4669.31,70,-11.25,-15.9,96,71.51,70.09,70.09,74.35,726.0,726.0,725.0,2.57,2.57,2.73,1865.82,1071.825224697801,1880.5612280701753,1865.82,1979.25,1903.63,1.5,277.0,3.832377845
20,4669.31,69,-10.77,-15.8,100,70.04,69.27,68.43,72.42,726.0,720.0,721.0,2.65,2.64,2.79,1923.9,1087.688338794633,1920.8887283236995,1900.8,2011.59,1945.43,1.5,281.0,3.956691872
22,4669.31,67,-10.77,-15.8,100,70.04,69.27,162.65,10.59,726.0,7.0,107.0,7.19,2.64,2.75,1923.9,1107.918290632988,2033.5681502890175,4517.73,294.25,1945.43,1.5,281.0,5.440740511
24,4669.31,65,-8.33,-14.7,122,63.99,62.47,62.96,66.53,721.0,717.0,717.0,2.96,3.0,3.17,2134.16,1142.0410277200485,2151.247701149425,2151.0,2272.89,2186.02,0.7,278.0,4.501339205
27,4669.31,62,-5.52,-13.9,142,60.63,59.86,59.86,62.17,713.0,713.0,709.0,3.37,3.37,3.52,2402.81,1174.3210591455522,2294.5628,2402.81,2495.68,2433.77,0.0,265.0,5.1358053560000005
30,4669.31,59,-4.6,-13.9,159,58.79,58.41,58.65,59.33,706.0,707.0,704.0,3.73,3.74,3.8,2633.38,1208.1550322950125,2433.534318181818,2644.18,2675.2,2650.92,1.2,276.0,5.632253547
34,4669.31,55,-3.7,-13.4,187,55.68,54.59,55.25,57.2,703.0,703.0,701.0,4.13,4.18,4.34,2903.39,1227.7439983706847,2644.6090395480223,2938.54,3042.34,2961.42,1.8,282.0,6.240379858
35,4669.31,54,-3.79,-13.1,189,55.75,55.28,55.04,56.92,704.0,701.0,700.0,4.22,4.22,4.37,2970.88,1242.913143768829,2686.979213483146,2958.22,3059.0,2996.03,1.8,283.0,6.32529002
39,4669.31,50,-2.85,-12.0,213,53.92,53.38,53.61,54.79,702.0,699.0,695.0,4.62,4.66,4.79,3243.24,1291.9014935312753,2835.647318435754,3257.34,3329.05,3276.54,1.2,279.0,6.893458775
42,4669.31,47,-1.23,-11.4,229,52.03,51.06,51.89,53.15,693.0,690.0,690.0,4.84,4.94,5.06,3354.12,1315.085956904857,2962.1408938547484,3408.6,3491.4,3418.04,0.5,268.0,7.194232037000001
43,4669.31,46,0.02,-11.5,233,52.06,51.72,52.2,52.27,693.0,687.0,688.0,5.01,5.1,5.1,3471.93,1316.1916454124116,3019.499553072626,3503.7,3508.8,3494.81,1.5,281.0,7.409266422999999
44,4669.31,45,0.12,-11.0,243,50.67,50.0,50.35,51.65,692.0,686.0,689.0,5.06,5.14,5.25,3501.52,1326.606675128414,3066.9434636871515,3526.04,3617.25,3548.27,1.1,278.0,7.486756185
45,4669.31,44,0.14,-10.8,245,50.65,49.84,50.35,51.76,690.0,685.0,687.0,5.1,5.19,5.32,3519.0,1345.4101398637774,3105.0838547486032,3555.15,3654.84,3576.33,1.4,279.0,7.524506052
47,4669.31,42,0.49,-10.7,250,50.84,50.36,50.65,51.52,688.0,683.0,687.0,5.28,5.35,5.41,3632.64,1359.1954959515847,3198.7410614525133,3654.05,3716.67,3667.79,1.4,273.0,7.727475919
49,4669.31,40,0.95,-10.5,262,49.43,48.74,49.07,50.5,686.0,683.0,684.0,5.38,5.44,5.59,3690.68,1351.6780194825817,3296.295139664805,3715.52,3823.56,3743.25,1.6,275.0,7.859372552999999
52,4669.31,37,1.47,-9.7,272,48.94,48.38,48.5,49.95,684.0,682.0,683.0,5.57,5.6,5.76,3809.88,1406.4302434217957,3333.190893854748,3819.2,3934.08,3854.39,1.8,265.0,8.072623771
57,4669.31,32,3.18,-9.9,292,47.53,47.23,46.95,48.39,682.0,678.0,678.0,5.89,5.89,6.07,4016.98,1449.0633471723113,3473.0386666666664,3993.42,4115.46,4041.95,1.9,275.0,8.499591852
58,4669.31,31,3.47,-10.1,296,47.4,47.02,47.54,47.64,682.0,677.0,674.0,5.95,6.06,6.1,4057.9,1453.4168991924112,3491.5505,4102.62,4111.4,4090.64,1.5,268.0,8.61579488
60,4669.31,29,4.43,-9.2,309,46.27,46.05,45.92,46.83,679.0,675.0,673.0,6.13,6.15,6.29,4162.27,1459.4353413861718,3547.8445000000006,4151.25,4233.17,4182.23,1.4,262.0,8.814133488
61,4669.31,28,4.55,-9.4,310,46.3,45.74,46.36,46.81,678.0,673.0,672.0,6.12,6.25,6.32,4149.36,1451.1909671813623,3586.3070000000002,4206.25,4247.04,4200.88,1.9,265.0,8.825954978
63,4669.31,26,5.45,-9.4,313,46.05,45.63,46.07,46.44,672.0,673.0,671.0,6.24,6.29,6.36,4193.28,1463.019664317415,3615.7889444444445,4233.17,4267.56,4231.34,1.8,271.0,8.927323562
64,4669.31,25,5.14,-8.5,320,45.36,45.18,45.19,45.7,673.0,670.0,667.0,6.3,6.33,6.43,4239.9,1467.2822698016412,3648.4732777777776,4241.1,4288.81,4256.6,0.9,264.0,8.993092311
65,4669.31,24,5.6,-8.0,326,45.34,45.06,45.2,45.76,671.0,668.0,667.0,6.43,6.48,6.57,4314.53,1463.7037479410044,3666.8711111111115,4328.64,4382.19,4341.79,0.6,281.0,9.174610886
66,4669.31,23,6.41,-8.0,331,44.53,44.19,44.19,45.22,669.0,665.0,664.0,6.44,6.48,6.64,4308.36,1488.963618265063,3688.299111111111,4309.2,4408.96,4342.17,1.2,276.0,9.166628462
67,4669.31,22,6.74,-8.1,334,44.4,43.88,44.42,44.89,668.0,666.0,664.0,6.47,6.57,6.66,4321.96,1486.7247569982949,3700.809833333333,4375.62,4422.24,4373.27,1.2,269.0,9.22637093
68,4669.31,21,6.95,-7.5,334,44.5,43.98,44.46,45.06,667.0,664.0,664.0,6.5,6.6,6.69,4335.5,1477.3120000608747,3711.2814999999996,4382.4,4442.16,4386.69,0.9,275.0,9.26106829
71,4669.31,18,8.58,-7.9,346,43.27,42.54,43.12,44.15,664.0,663.0,663.0,6.58,6.68,6.84,4369.12,1460.7387399756178,3811.8166666666666,4428.84,4534.92,4444.29,2.8,282.0,9.363345862000001
73,4669.31,16,8.39,-8.0,352,43.13,42.61,42.99,43.81,664.0,663.0,664.0,6.7,6.77,6.89,4448.8,1439.7571592942065,3852.478722222223,4488.51,4574.96,4504.09,2.0,278.0,9.500436634
74,4669.31,15,8.28,-7.4,351,43.38,42.94,43.12,44.08,666.0,663.0,663.0,6.71,6.77,6.92,4468.86,1443.2042320950954,3868.1148333333335,4488.51,4587.96,4515.11,1.2,287.0,9.53812862
75,4669.31,14,8.97,-7.2,353,42.98,42.78,42.84,43.34,664.0,662.0,660.0,6.76,6.79,6.89,4488.64,1440.0355971238562,3899.1234999999997,4494.98,4547.4,4510.34,1.3,281.0,9.567061807
76,4669.31,13,8.95,-7.0,360,42.67,42.2,42.57,43.24,664.0,663.0,661.0,6.8,6.87,7.0,4515.2,1412.0282007148658,3926.636777777778,4554.81,4627.0,4565.67,2.0,280.0,9.632616198
77,4669.31,12,9.1,-6.7,361,42.5,42.12,42.54,42.85,664.0,661.0,660.0,6.81,6.91,6.97,4521.84,1413.750733996813,3945.8891666666664,4567.51,4600.2,4563.18,2.0,276.0,9.638795743
78,4669.31,11,8.89,-6.4,362,42.58,42.28,42.45,43.0,666.0,659.0,659.0,6.83,6.93,7.02,4548.78,1442.0153944211356,3959.901888888888,4566.87,4626.18,4580.61,2.3,277.0,9.666952386
79,4669.31,10,8.58,-6.4,364,42.58,41.97,42.58,43.19,662.0,662.0,662.0,6.85,6.95,7.05,4534.7,1427.1807988334906,3984.132333333334,4600.9,4667.1,4600.9,2.3,277.0,9.67283446
80,4669.31,9,8.68,-6.4,365,42.49,42.15,42.51,42.8,663.0,662.0,659.0,6.89,6.96,7.04,4568.07,1419.5559337023128,3992.315000000001,4607.52,4639.36,4604.98,3.2,278.0,9.696061157
84,4669.31,5,8.16,-5.7,372,42.19,41.79,41.96,42.8,663.0,661.0,661.0,6.95,7.0,7.14,4607.85,1384.2806399189194,4100.216333333333,4627.0,4719.54,4651.46,1.7,282.0,9.780475125
87,4669.31,2,8.64,-6.2,374,42.11,41.74,42.03,42.56,664.0,663.0,661.0,6.98,7.04,7.15,4634.72,1362.5665293465029,4175.943937823834,4667.52,4726.15,4676.13,2.8,277.0,9.834537337
88,4669.31,1,9.09,-5.8,374,41.95,41.43,41.79,42.62,663.0,663.0,663.0,6.95,7.01,7.15,4607.85,1336.9732753166056,4159.314628099173,4647.63,4740.45,4665.31,3.6,264.0,9.806275566
